categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
empieza_con_mayuscula,Seltz,Seltz,XUu4MjD,ID_Y_HEADER_EXISTEN,XUu4MjD,Seltz
mayusculas,SMS,SMS,Y33DAtg,ID_Y_HEADER_EXISTEN,Y33DAtg,SMS
empieza_con_mayuscula,Talmud,Talmud,Z0xK4OZ,ID_Y_HEADER_EXISTEN,Z0xK4OZ,Talmud
empieza_con_mayuscula,Telmo,Telmo,ZOOoQR5,ID_Y_HEADER_EXISTEN,ZOOoQR5,Telmo
empieza_con_mayuscula,Terranova,Terranova,ZbRuTLd,ID_Y_HEADER_EXISTEN,ZbRuTLd,Terranova
mayusculas,TNT,TNT,Zv5aljo,ID_Y_HEADER_EXISTEN,Zv5aljo,TNT
empieza_con_mayuscula,Toledo,Toledo,ZyMP0DR,ID_Y_HEADER_EXISTEN,ZyMP0DR,Toledo
empieza_con_mayuscula,Tolú,Tolú,ZzJnl9Q,ID_Y_HEADER_EXISTEN,ZzJnl9Q,Tolú
empieza_con_mayuscula,Tortis,Tortis,a8WSycH,ID_Y_HEADER_EXISTEN,a8WSycH,Tortis
empieza_con_mayuscula,Troya,Troya,aoufKb3,ID_Y_HEADER_EXISTEN,aoufKb3,Troya
empieza_con_mayuscula,Tíbet,Tíbet,Zi4BX1t,ID_Y_HEADER_EXISTEN,Zi4BX1t,Tíbet
empieza_con_mayuscula,Túnez,Túnez,av6nlMB,ID_Y_HEADER_EXISTEN,av6nlMB,Túnez
empieza_con_mayuscula,Urías,Urías,b9WoTns,ID_Y_HEADER_EXISTEN,b9WoTns,Urías
mayusculas,USB,USB,bBC7gKG,ID_Y_HEADER_EXISTEN,bBC7gKG,USB
empieza_con_mayuscula,Valsaín,Valsaín,bJywpKO,ID_Y_HEADER_EXISTEN,bJywpKO,Valsaín
empieza_con_mayuscula,Varolio,Varolio,bOJV5lz,ID_Y_HEADER_EXISTEN,bOJV5lz,Varolio
empieza_con_mayuscula,Venecia,Venecia,bWkU3T4,ID_Y_HEADER_EXISTEN,bWkU3T4,Venecia
empieza_con_mayuscula,Venezuela,Venezuela,bXRvnxi,ID_Y_HEADER_EXISTEN,bXRvnxi,Venezuela
empieza_con_mayuscula,Vicente,Vicente,bkPFqtb,ID_Y_HEADER_EXISTEN,bkPFqtb,Vicente
