categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
minuscula,cualesquiera,cualesquiera,BRN0Op6,NINGUNO,,
minuscula,cualquier,cualquier,BRfxGm8,NINGUNO,,
minuscula,cuan,cuan,BRnREbE,NINGUNO,,
empieza_con_mayuscula,Cuasimodo,Cuasimodo,BTzDed5,ID_Y_HEADER_EXISTEN,BTzDed5,Cuasimodo
empieza_con_mayuscula,Cuenca,Cuenca,BZr18lT,ID_EXISTE_HEADER_NO,,Cuenca<sup>2</sup>
minuscula,cuán,cuán,BRpCzFC,NINGUNO,,
minuscula,cyclo-cross,cyclo-cross,Bo2hHnb,NINGUNO,,
contiene_espacios,Cástor y Pólux,Cástor y Pólux,7rXwh8y,ID_Y_HEADER_EXISTEN,7rXwh8y,Cástor y Pólux
empieza_con_mayuscula,Damocles,Damocles,Br2uGNl,ID_Y_HEADER_EXISTEN,Br2uGNl,Damocles
empieza_con_mayuscula,David,David,Bt0oZcf,ID_Y_HEADER_EXISTEN,Bt0oZcf,David
mayusculas,DDT,DDT,BtBOXkO,ID_Y_HEADER_EXISTEN,BtBOXkO,DDT
contiene_espacios,Deo volente,Deo volente,CEUGngB,ID_EXISTE_HEADER_NO,,<i>Deo volente</i>
minuscula,deso,deso,DEKdXai,NINGUNO,,
minuscula,desto,desto,DUJUz91,NINGUNO,,
mayusculas,DIN,DIN,DnhzO94,ID_EXISTE_HEADER_NO,,DIN<sup>2</sup>
mayusculas,DNA,DNA,E1xhjgs,ID_Y_HEADER_EXISTEN,E1xhjgs,DNA
mayusculas,DNI,DNI,E1yehOH,ID_Y_HEADER_EXISTEN,E1yehOH,DNI
empieza_con_mayuscula,Domingo,Domingo,E6srI3L,ID_EXISTE_HEADER_NO,,Domingo<sup>2</sup>
empieza_con_mayuscula,Down,Down,EArj9SL,ID_Y_HEADER_EXISTEN,EArj9SL,Down
empieza_con_mayuscula,Duero,Duero,EF6Wx4Q,ID_Y_HEADER_EXISTEN,EF6Wx4Q,Duero
mayusculas,DVD,DVD,EITKPOm,ID_Y_HEADER_EXISTEN,EITKPOm,DVD
empieza_con_mayuscula,Edipo,Edipo,ENiddAk,ID_Y_HEADER_EXISTEN,ENiddAk,Edipo
empieza_con_mayuscula,Egeria,Egeria,EQAZIdN,ID_Y_HEADER_EXISTEN,EQAZIdN,Egeria
empieza_con_mayuscula,Egipto,Egipto,EQgpOy5,ID_Y_HEADER_EXISTEN,EQgpOy5,Egipto
contiene_espacios,El Escorial,El Escorial,EWzrcO6,ID_Y_HEADER_EXISTEN,EWzrcO6,El Escorial
empieza_con_mayuscula,Electra,Electra,ETecsKf,ID_Y_HEADER_EXISTEN,ETecsKf,Electra
minuscula,ellos,"ellos, llas",EYDli6v,NINGUNO,,
minuscula,endeudarse,endeudarse,FCm0mlz,ID_EXISTE_HEADER_NO,,endeudar
empieza_con_mayuscula,Ertzaintza,Ertzaintza,G4BKwyC,ID_EXISTE_HEADER_NO,,<i>Ertzaintza</i>
empieza_con_mayuscula,Escila,Escila,GE0IEc3,ID_EXISTE_HEADER_NO,,Escila<sup>2</sup>
empieza_con_mayuscula,Escocia,Escocia,GG4ARfQ,ID_EXISTE_HEADER_NO,,Escocia<sup>1</sup>
mayusculas,ESO,ESO,GSANc3R,ID_Y_HEADER_EXISTEN,GSANc3R,ESO
minuscula,esos,"esos, sas",GSL4kTT,NINGUNO,,
empieza_con_mayuscula,España,España,GUQ1mFn,ID_Y_HEADER_EXISTEN,GUQ1mFn,España
empieza_con_mayuscula,Espinosa,Espinosa,GbefZRR,ID_Y_HEADER_EXISTEN,GbefZRR,Espinosa
empieza_con_mayuscula,Estocolmo,Estocolmo,Gu9qUA4,ID_Y_HEADER_EXISTEN,Gu9qUA4,Estocolmo
minuscula,estos,"estos, tas",GvpwejL,NINGUNO,,
empieza_con_mayuscula,Etiopía,Etiopía,H4Ma8iH,ID_Y_HEADER_EXISTEN,H4Ma8iH,Etiopía
empieza_con_mayuscula,Europa,Europa,H6xQqF1,ID_Y_HEADER_EXISTEN,H6xQqF1,Europa
empieza_con_mayuscula,Eustaquio,Eustaquio,H7jc2tJ,ID_Y_HEADER_EXISTEN,H7jc2tJ,Eustaquio
empieza_con_mayuscula,Fahrenheit,Fahrenheit,HUii7L9,ID_Y_HEADER_EXISTEN,HUii7L9,Fahrenheit
minuscula,faleuco,faleuco,HXPDozH,NINGUNO,,
empieza_con_mayuscula,Falopio,Falopio,HYXomjk,ID_Y_HEADER_EXISTEN,HYXomjk,Falopio
empieza_con_mayuscula,Fernambuco,Fernambuco,HmW8ay8,ID_Y_HEADER_EXISTEN,HmW8ay8,Fernambuco
empieza_con_mayuscula,Flandes,Flandes,I375Q8h,ID_Y_HEADER_EXISTEN,I375Q8h,Flandes
empieza_con_mayuscula,Florencia,Florencia,I6lX71l,ID_Y_HEADER_EXISTEN,I6lX71l,Florencia
empieza_con_mayuscula,Florida,Florida,I7GzDzL,ID_Y_HEADER_EXISTEN,I7GzDzL,Florida
minuscula,fondonga,fondonga,IBq7XMS,NINGUNO,,
minuscula,fondongo,"fondongo, ga",IBqK1SP,ID_EXISTE_HEADER_NO,,"fodongo, ga"
empieza_con_mayuscula,Fraga,Fraga,IMNds8Z,ID_EXISTE_HEADER_NO,,Fraga<sup>3</sup>
empieza_con_mayuscula,Francia,Francia,IOEl3hJ,ID_Y_HEADER_EXISTEN,IOEl3hJ,Francia
empieza_con_mayuscula,Frisia,Frisia,IV60T4d,ID_Y_HEADER_EXISTEN,IV60T4d,Frisia
empieza_con_mayuscula,Gambia,Gambia,IokGGhF,ID_Y_HEADER_EXISTEN,IokGGhF,Gambia
empieza_con_mayuscula,Gargajo,Gargajo,Itvm0Al,ID_EXISTE_HEADER_NO,,Gargajo<sup>2</sup>
empieza_con_mayuscula,Gauss,Gauss,J0kpXjJ,ID_EXISTE_HEADER_NO,,Gauss<sup>2</sup>
contiene_espacios,Gloria Patri,Gloria Patri,JFVwZ7q,ID_EXISTE_HEADER_NO,,<i>Gloria Patri</i>
empieza_con_mayuscula,Golgi,Golgi,JIqDbAr,ID_Y_HEADER_EXISTEN,JIqDbAr,Golgi
mayusculas,GPS,GPS,JNqHTYE,ID_Y_HEADER_EXISTEN,JNqHTYE,GPS
empieza_con_mayuscula,Graaf,Graaf,JNs9FxZ,ID_Y_HEADER_EXISTEN,JNs9FxZ,Graaf
empieza_con_mayuscula,Guernesey,Guernesey,JoJSim0,ID_Y_HEADER_EXISTEN,JoJSim0,Guernesey
empieza_con_mayuscula,Génova,Génova,J5ontBr,ID_Y_HEADER_EXISTEN,J5ontBr,Génova
empieza_con_mayuscula,Higuera,Higuera,KNoqKXx,ID_EXISTE_HEADER_NO,,Higuera<sup>2</sup>
empieza_con_mayuscula,Hinojosa,Hinojosa,KQBLePz,ID_Y_HEADER_EXISTEN,KQBLePz,Hinojosa
minuscula,house,house,KiQ3lpc,NINGUNO,,
empieza_con_mayuscula,Ignacio,Ignacio,KvazWio,ID_Y_HEADER_EXISTEN,KvazWio,Ignacio
contiene_espacios,in fraganti,in fraganti,LYnESFR,ID_Y_HEADER_EXISTEN,LYnESFR,in fraganti
contiene_espacios,in illo tempore,in illo tempore,LcgKi5C,NINGUNO,,
contiene_espacios,in integrum,in integrum,LcoPm3X,NINGUNO,,
contiene_espacios,in itinere,in itinere,Lcxkw1S,NINGUNO,,
contiene_espacios,in medias res,in medias res,Le5AFqG,NINGUNO,,
contiene_espacios,in memoriam,in memoriam,LeN78IB,NINGUNO,,
contiene_espacios,in mente,in mente,LeUeikl,NINGUNO,,
contiene_espacios,in partibus,in partibus,LiNk5DU,NINGUNO,,
